name,Region,Last Update,Confirmed,Deaths,Recovered
Missouri,USA,2020-04-28 03:00:00,7307,303,1683
Arizona,USA,2020-04-28 03:00:00,6725,275,6
Alabama,USA,2020-04-28 03:00:00,6539,228,0
US Military,USA,2020-04-28 03:00:00,6213,26,1947
Mississippi,USA,2020-04-28 03:00:00,6094,229,0
Wisconsin,USA,2020-04-28 03:00:00,6081,281,2882
Iowa,USA,2020-04-28 03:00:00,5868,127,1903
South Carolina,USA,2020-04-28 03:00:00,5613,177,0
Nevada,USA,2020-04-28 03:00:00,4734,206,2686
Utah,USA,2020-04-28 03:00:00,4236,41,393
Delaware,USA,2020-04-28 03:00:00,4162,125,996
Kentucky,USA,2020-04-28 03:00:00,4156,213,1174
District of Columbia,USA,2020-04-28 03:00:00,3892,185,659
Minnesota,USA,2020-04-28 03:00:00,3811,286,1842
Kansas,USA,2020-04-28 03:00:00,3473,126,703
Nebraska,USA,2020-04-28 03:00:00,3358,56,0
Oklahoma,USA,2020-04-28 03:00:00,3281,197,2171
Arkansas,USA,2020-04-28 03:00:00,3069,51,1053
New Mexico,USA,2020-04-28 03:00:00,2825,99,632
Oregon,USA,2020-04-28 03:00:00,2354,92,595
South Dakota,USA,2020-04-28 03:00:00,2245,11,1316
New Hampshire,USA,2020-04-28 03:00:00,1938,60,798
Idaho,USA,2020-04-28 03:00:00,1917,58,867
Navajo Nation,USA,2020-04-28 03:00:00,1540,58,0
Puerto Rico,USA,2020-04-28 03:00:00,1389,84,0
Federal Bureau of Prisons,USA,2020-04-28 03:00:00,1376,28,514
West Virginia,USA,2020-04-28 03:00:00,1077,37,481
Maine,USA,2020-04-28 03:00:00,1023,51,549
North Dakota,USA,2020-04-28 03:00:00,942,19,350
Vermont,USA,2020-04-28 03:00:00,855,47,0
Hawaii,USA,2020-04-28 03:00:00,607,16,493
Wyoming,USA,2020-04-28 03:00:00,520,7,334
Montana,USA,2020-04-28 03:00:00,449,14,352
Alaska,USA,2020-04-28 03:00:00,345,9,218
Guam,USA,2020-04-28 03:00:00,141,5,128
Grand Princess,USA,2020-04-28 03:00:00,103,3,0
United States Virgin Islands,USA,2020-04-28 03:00:00,57,4,51
Diamond Princess,USA,2020-04-28 03:00:00,49,0,0
Northern Mariana Islands,USA,2020-04-28 03:00:00,14,2,12
Wuhan Evacuee,USA,2020-04-28 03:00:00,4,0,0
New York,USA,2020-04-13 03:00:00,190288,9385,25765
New Jersey,USA,2020-04-13 03:00:00,61850,2350,355
Massachusetts,USA,2020-04-13 03:00:00,25475,756,729
Michigan,USA,2020-04-13 03:00:00,24638,1487,433
California,USA,2020-04-13 03:00:00,23311,682,978
Pennsylvania,USA,2020-04-13 03:00:00,22997,557,179
Illinois,USA,2020-04-13 03:00:00,20852,720,227
Louisiana,USA,2020-04-13 03:00:00,20595,840,0
Florida,USA,2020-04-13 03:00:00,19895,461,0
Texas,USA,2020-04-13 03:00:00,13886,296,2068
Georgia,USA,2020-04-13 03:00:00,12550,442,340
Connecticut,USA,2020-04-13 03:00:00,12035,554,34
Washington,USA,2020-04-13 03:00:00,10530,510,1325
Maryland,USA,2020-04-13 03:00:00,8225,235,456
Indiana,USA,2020-04-13 03:00:00,7928,343,105
Colorado ,USA,2020-04-13 03:00:00,7307,290,112
Ohio,USA,2020-04-13 03:00:00,6604,253,12
Tennessee,USA,2020-04-13 03:00:00,5508,106,1504
Virginia,USA,2020-04-13 03:00:00,5274,141,2
North Carolina,USA,2020-04-13 03:00:00,4602,91,325
Missouri,USA,2020-04-13 03:00:00,4272,118,191
Alabama,USA,2020-04-13 03:00:00,3583,93,0
Arizona,USA,2020-04-13 03:00:00,3542,115,3
US Military,USA,2020-04-13 03:00:00,3509,13,351
